projectName,propertyLocation,managedBy,managerName,units,propertiesOwned
Marion Gardens,"57 Dales Avenue, Jersey City, NJ 07306-6807",Jersey City Housing Authority,Brenda Griffin,233,18
Booker T. Washington Apartments,"200 Colden Street, Jersey City, 07302",Jersey City Housing Authority,Louranett George,319,18
Hudson Gardens,"27 Palisades Avenue, Jersey City, 07306",Jersey City Housing Authority,Mariela Ramos,224,18
Holland Gardens,"241 16th St, Jersey City, 07310",Jersey City Housing Authority,Elizabeth Nunez,192,18
Curries Woods,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,91,18
Curries Woods - Phase I Townhouses,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,46,18
Curries Woods - Phase II Townhouses,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,20,18
Curries Woods - Phase III Townhouses,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,18,18
Curries Woods - Phase IV Townhouses,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,40,18
Curries Woods - Phase V Townhouses,"3 New Heckman Drive, Jersey City, 07305",Jersey City Housing Authority,Maria Serrano,80,18
Berry Gardens I,"199 Ocean Avenue, Jersey City, 07305",Jersey City Housing Authority,Neil Fernando,156,18
Berry Gardens II,"92 Danforth Avenue, Jersey City, 07305",Jersey City Housing Authority,Marilyn Rivera,130,18
Berry Gardens III,"82 Danforth Avenue, Jersey City, 07305",Jersey City Housing Authority,Marilyn Rivera,40,18
Berry Gardens IV,"72 Danforth Avenue, Jersey City, 07305",Jersey City Housing Authority,Marilyn Rivera,42,18
Dwight Street Homes,"125A Dwight St, Jersey City, New Jersey",Jersey City Housing Authority,Stephanie Carson,100,18
Thomas J. Stewart Apartments,"88-92 Erie Street, Jersey City, 07302",Jersey City Housing Authority,Elizabeth Nunez,48,18
254 Bergen Avenue,"254 Bergen Avenue, Jersey City, 07305",Jersey City Housing Authority,Stephanie Carson,36,18
Arlington Gardens,"315 Randolph Avenue. Jersey City, 07304",Jersey City Housing Authority,Stephanie Carson,90,18
Lafayette Village,"579 Grand Street, Jersey City, 07304",McCormack Baron Ragan,Diana Gallo,124,1
Lafayette Senior Living Center,"463 Pacific Avenue, Jersey City, 07304",The Michaels Organization,Lissette Powell,83,11
Pacific Court,"148 Bramhall Avenue, 07304",The Michaels Organization,Lissette Powell,72,11
Woodward Terrace,"148 Bramhall Avenue, 07304",The Michaels Organization,Lissette Powell,70,11
Barbara Place Terrace,"471 Pacific Avenue, Jersey City, 07304",The Michaels Organization,Lissette Powell,67,11
Ocean Pointe,"460 Ocean Avenue, Jersey City, 07305",The Michaels Organization,Zamaris Guzman,27,11
Ocean Pointe,"461 Ocean Avenue, Jersey City, 07305",The Michaels Organization,Zamaris Guzman,32,11
Glennview Townhouses Phase I,"463 Pacific Avenue, Jersey City, 07304",The Michaels Organization,Lissette Powell,63,11
Glennview Townhouses Phase II East,"463 Pacific Avenue, Jersey City, 07304",The Michaels Organization,Lissette Powell,40,11
Glennview Townhouses Phase II West,"463 Pacific Avenue, Jersey City, 07304",The Michaels Organization,Lissette Powell,24,11
Catherine Todd Senior Living Center,"547 Montgomery Street, 07302",The Michaels Organization,Kimberly Jones,68,11
Mill Creek Gardens,"214 Cornelison Avenue, Jersey City, 07302",The Michaels Organization,Kimberly Jones,126,11
Gloria Robinson Court Homes Phase I,"348 Duncan Ave, Jersey City, 07306",Ingerman Management Corporations,Suhaily Narvaez,66,2
Gloria Robinson Court Homes Phase II,"348 Duncan Ave, Jersey City, 07306",Ingerman Management Corporations,Suhaily Narvaez,78,2
Gloria Robinson Court Homes Phase III,"344 Duncan Ave, Jersey City, 07306",Pennrose Management Company,Tasha Smith,60,2
Gloria Robinson Court Homes Phase IV,"344 Duncan Ave, Jersey City, 07306",Pennrose Management Company,Tasha Smith,70,2
